,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
208,01/19/1930,18:23,"oceanside, california",maddux airlines,7,"aqua caliente, mexico - los angeles",ford 5-at-c tri motor,nc9689,5-at-046,16.0,16,0.0,"while en route to los angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. while in a left turn his left wing struck a hill, crashed and burned. adverse weather conditions. the plane flew into a sudden squall which cause the pilot to lose control."
236,03/31/1931,10:45,"bazaar, kansas",trans continental and western air,599,kansas city - wichita -  los angeles,fokker f10a trimotor,nc-999,1063,8.0,8,0.0,"shortly after taking off from kansas city, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. the plane crashed into a wheat field. wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. notre dame football coach, knute rockne, 43, killed."
334,08/31/1934,23:42,"amazonia, missouri",rapid air transport,6,omaha - st. joseph,stinson  sm-6000b,nc10809,5004,5.0,5,0.0,the plane crashed about 11 miles from st. joseph in heavy fog. pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. inaccurate weather conditions reported to the pilot.
354,05/06/1935,03:30,"atlanta, missouri",trans continental and western air,6,los angeles - albuquerque - kanasas city -  washington,douglas dc-2-112,nc13785,1295,14.0,5,0.0,"the plane crashed while en route from albuquerque to kansas city. after encountering fog and poor visibility, the plane was diverted to kirksville where witnesses reported the low flying aircraft made contact with the ground and crashed. whether the plane struck the ground while the pilot was attempting to make an emergency landing or because the available fuel supply had been exhausted, or for other reasons, could not be determined. new mexico senator bronson m. cutting, 46, killed. improper clearance of the airplane from albuquerque by the company's ground personnel when the plane's two-way radio was not functioning properly."
365,08/14/1935,23:45,"near gilmer, texas",delta air lines,4,dallas -  atlanta,stinson model a,nc14599,9103,4.0,4,0.0,crashed 3 miles south of gilmer. the outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.
370,10/07/1935,02:19,"near cheyenne, wyoming",united air lines,4,salt lake city - cheyenne,boeing 247d,nc13317,1698,12.0,12,0.0,"while flying in a normal, slightly descending path, the aircraft  first collided with the ground just a few feet  below the top of a small knoll tearing out both engines and engine nacelles. it then rebounded and continued through the air for a distance of 1,120 feet, where it came to rest.  error on the part of the pilot in executing an abrupt maneuver with insufficient altitude for safety and failure of the pilot to maintain proper control of the aircraft during this maneuver."
382,01/14/1936,19:32,"goodwin, arkansas",american airlines,1,"newark, nj - fort worth, tx",douglas dc-2-120,nc14274,1307,17.0,17,0.0,"flew into trees and disintegrated. the cause of the crash could not be determined.  possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls."
390,04/07/1936,10:20,"uniontown, pennsylvania",trans continental and western air,1,newark - los angeles,douglas dc-2-112,nc13721,1247,15.0,13,0.0,"crashed into chestnut ridge in fog. the poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio."
419,12/15/1936,03:14,"near salt lake city, utah",western air express,6,burbank - las vegas - salt lake city,boeing 247d,nc13370,1957,7.0,7,0.0,crashed into lone peak while attempting to land at salt lake. inability of the pilots to identify the south leg of the salt lake radio range due to a local staticondition which rendered both range receivers in the airplane inoperative.
421,12/19/1936,20:47,"near milford, pennsylvania",eastern air lines,14,"miami, fl - charleston, sc - newark, nj",douglas dc-2-112,nc13732,1258,14.0,14,0.0,"crashed into trees in poor weather while attempting to land at newark. error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and staticonditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible."
424,12/27/1936,19:38,"newhall, california",united air lines,34,oakland - san francisco - los angeles,boeing 247-d,nc13355,1737,12.0,12,0.0,"while on approach to burbank airport, the airliner crashed into rice canyon, just south of newhall.  it was raining with poor visibility. the aircraft flew into a hill loosing its wings, continued without wings across rice canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  error on the part of the pilot in attempting to fly through the newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather."
425,01/12/1937,11:07,"near newhall, california",western air express,7,salt lake city - burbank,boeing 247b,nc13315,1696,13.0,5,0.0,"the aircraft crashed into pinetos peak, 4 miles southeast of newhall while attempting to land at burbank airport in fog and rain. the pilot descended to a dangerously low altitude without positive knowledge of his position. african explorer, martin johnson, 52, killed. johnson suffered a fractured skull in the crash and died the next day in a hospital."
427,02/09/1937,20:50,"off san francisco, california",united air lines,23,los angeles - san francisco - oakland,douglas dc-3a,nc16073,1913,11.0,11,0.0,"the aircraft crashed into san francisco bay, approximately 2 miles offshore, while on approach. the accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. first accident involving a dc-3."
431,03/25/1937,18:40,"clifton, pennsylvania",trans continental and western air,15a,newark - camden - pittsburg,douglas dc-2-112,nc13730,1256,13.0,13,0.0,crashed while attempting to land. heavy icing which rendered the plane uncontrollable.
433,05/06/1937,19:25,"lakehurst, new jersey",deutsche zeppelin reederei,lz 129,frankfurt - lakehurst n.j.,zeppelin lz-129,d-lz-129,d-lz129,97.0,35,1.0,"the airship hindenburg caught fire and burned while being moored at lakehurst, new jersey.  possible causes were statidischarge which ignited leaking hydrogen or sabotage. it has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a statidischarge between the hindenburg's outer skin and frame causing the hydrogen to ignite."
440,08/10/1937,04:40,"daytona beach, florida",eastern air lines,7,chicago - daytona,douglas dc-2,nc-13739,1289,9.0,4,0.0,the plane struck a power pole while taking off from daytona and crashed to the ground 600 feet from the first point of impact. the absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.
446,10/17/1937,21:00,"haydens peak, wyoming",united air lines,1,cheyenne - salt lake city,douglas dc-3,nc16074,1914,19.0,19,0.0,"the plane crashed into the side of a mountain (humpy ridge)  in level flight at 10,000 ft. under adverse weather conditions. staticonditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. the continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. a change in the weather caused by the approach of an unpredicted cold front."
454,01/10/1938,15:07,"bozeman, montana",northwest orient airlines,2,seattle - billings - chicago,lockheed 14h super electra,nc-17388,1407,10.0,10,0.0,"the aircraft crashed 12 miles northeast of bozeman after experiencing structural failure of the tail. there was severe turbulence reported in the area at the time of the accident. the structural failure of the upper vertical fins and rudders due to flutter 'natural resonance, or period of vibration' which resulted in the separation of the rudder and fins and loss of control of the aircraft."
455,01/11/1938,19:40,"pago pago, u.s. samoa",pan american world airways,1,honolulu - pago pago - auckland,sikorsky s-42 (flying boat),nc16734,4207,7.0,7,0.0,"the aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at pago pago. neither the plane or six crew members were ever found. the aircraft was named 'samoan clipper.'  pan american's first pilot, captain edwin c. musick, killed."
462,03/01/1938,21:30,"near wawona, cailifornia",trans continental and western air,8,san francisco - burbank,douglas dc-2-112,nc13789,1299,9.0,9,0.0,crashed into the high sierra after encountering a severe weather front while en route. the pilot radioed that ice was forming on the dc-2's wings as it neared the tehachapi mountains near bakersfield and that he was turning back towards the north to land at fresno. the aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. the wreckage was not found until 6/12/38.
